Id,OrderAt,StoreId,UserId
b8bf9e81-48ad-42f4-8bc6-3a18eacc3655,2023-04-12 00:57:50,5e3a6e64-90ea-4d7c-ac9a-a6d024dd0fa4,fb32c4f1-80a2-4f64-9a0a-5ba6542ad4d4
2a78a6cf-dc6b-4487-a977-ad18107a787d,2023-01-14 10:46:59,188fdec8-5096-4768-977f-78ddb1aa3558,2a54e081-922e-4cfb-9257-3b6c2e744e12
54bfe3b2-b89c-4e1c-b4e1-262da95af595,2023-02-03 06:16:44,373aa876-c727-4838-98ef-ef9c01b13b85,7dd12e01-3505-4f07-a0e1-a73e5eca4874
56bd1176-393f-473b-b4ca-4b5652f104e3,2023-02-02 04:09:35,6f114dc9-11e8-434e-ac2b-32e532e4fb51,a86530d9-2682-452a-b6bb-01268908042b
deef9460-0c00-471b-98fb-c2533a879e9e,2023-08-11 23:18:06,0620acb3-705c-4353-8b0e-3fc19506f395,9f934aa0-a2bd-4de3-898a-2f7d2fcafc27
3262f9e5-6ce1-42e0-8454-edbaf33ca0e3,2023-11-28 01:07:28,d1495ca4-73f0-4721-8a73-c20ed5b74630,ded683bc-2495-430c-b080-f64fd61ed8c9
8ad3c012-105c-49ce-ab91-12c4a8a8c0bb,2023-10-23 09:04:47,5898dddb-0ed0-47c5-8872-2c181cc59ea4,9a5a1453-0b04-43c7-bff6-7f6c1be335a4
40cfa44a-f52f-4522-83db-fa8637d12691,2023-11-12 15:26:21,a7cb700b-ae2a-43df-b221-19fb80b992a6,b763fe8a-a757-4838-b009-c76b59681e88
f409925c-19a3-47a9-aa52-3bf5db5d798b,2023-10-12 03:41:30,0d4e11c4-f249-4a63-9150-af5f2e160d31,b6770080-798e-4e0a-bc2b-8f053c5deace
aa157294-0c6a-42e8-b3ad-da722d469841,2023-04-12 22:36:12,a9f419ae-72f1-4fd6-8f28-636f5dc8c796,083ddfbf-9f52-4cce-9b7b-8c36fe15d2dc
601d2729-dd46-4710-bd44-c86fb7593129,2023-07-30 08:18:51,079aa082-57c9-4e04-96a0-bc9f1a89cf70,30d182c7-112c-41a7-931e-b4551f7e8f30
fed3fd79-2100-41d5-9ca7-106515465633,2023-07-13 19:26:06,cd472c42-5051-4ead-822b-6f4b774b2294,81d319cf-d567-45f9-bf7f-b919a2b209b6
