Id,Name,Type,Address
8dc4f3f2-17a5-46eb-a601-4fd2add6ffa4,커피빈 중계19호점,커피빈,서울 용산구 92길 81
3faa4c58-e91c-4288-a7e9-4fb0c4b09f56,스타벅스 홍대8호점,스타벅스,서울 서초구 46길 30
4a1a1855-5272-4dcc-98bd-2fa723c26251,투썸 신촌6호점,투썸,서울 구로구 84로 46
389efa1d-7da0-445a-873c-47068b8e15b6,이디야 홍대4호점,이디야,서울 도봉구 31로 42
18b4c6ac-adb0-4490-a10e-36d57eb9a0b9,매머드 송파6호점,매머드,서울 노원구 75길 55
7c256203-4f45-4141-a54f-fc505f58907a,이디야 강서4호점,이디야,서울 성동구 79로 20
6332ea00-0850-4b78-96d3-2a528dfdbbed,스타벅스 송파13호점,스타벅스,서울 강서구 28길 57
600a7c18-5f64-494e-b2b5-d3d32bd322a4,매머드 송파10호점,매머드,서울 용산구 51길 85
ae0b89da-386e-497e-b2f6-b2a732a73b4d,할리스 송파18호점,할리스,서울 성북구 61길 77
bd2977ae-1067-4675-bda9-b6fdcfb09589,매머드 홍대12호점,매머드,서울 동대문구 18로 6
2b52075f-a2cb-4bee-8b8b-044bb2368d17,투썸 중계16호점,투썸,서울 중구 14로 60
7607225e-15f3-48ec-b76c-350d82dea8a7,이디야 홍대18호점,이디야,서울 도봉구 8로 73
f5c78377-81e9-4857-8bc1-00f8b6d79040,스타벅스 신촌3호점,스타벅스,서울 금천구 18로 7
040774b4-61e9-4c3c-a441-8c7a5e01185f,커피빈 신촌19호점,커피빈,서울 도봉구 97길 87
bbd1a18d-efe3-43db-9ada-89239a307cc5,커피빈 혜화12호점,커피빈,서울 용산구 47길 46
d8f642f0-9851-4744-9912-f0dbd7bf4801,스타벅스 홍대19호점,스타벅스,서울 광진구 31로 21
9172ec80-d53b-434b-9131-b29cec6fb765,할리스 강서14호점,할리스,서울 금천구 54로 64
d055ead0-c960-4f97-aac0-973083e249c3,투썸 신촌10호점,투썸,서울 중구 4로 44
54b09562-e268-48cb-a272-c915a835a228,투썸 홍대20호점,투썸,서울 은평구 20길 64
7b6094a6-5ef8-432b-aa25-ebeac3c4934d,매머드 홍대5호점,매머드,서울 서대문구 54길 92
8c73ea74-304d-4309-b36b-0f82948d1386,스타벅스 송파9호점,스타벅스,서울 구로구 53로 42
56c959bc-d6f3-4108-ac9b-6a9a47d1ce3b,이디야 송파19호점,이디야,서울 종로구 94로 30
a7233d58-856c-4814-a29a-4edf12c537f1,할리스 중계8호점,할리스,서울 은평구 20길 28
68a3412f-3941-40e5-aff6-3da12ac6cc1f,스타벅스 강서16호점,스타벅스,서울 서대문구 80길 40
5a898ee1-43d6-4abb-8fcb-1dc903dd3260,투썸 잠실14호점,투썸,서울 도봉구 84길 72
436fdd1c-c4d9-43a1-a9e6-9523857ed338,이디야 송파6호점,이디야,서울 성동구 19로 47
86d9cf60-bba3-47a8-8f44-5058c737da54,투썸 중계3호점,투썸,서울 송파구 15로 15
4d16062a-1393-45b8-a398-f880498ce6a6,이디야 혜화3호점,이디야,서울 노원구 2로 71
2e71005b-c4cc-4141-bd2a-1241d888de06,매머드 신촌18호점,매머드,서울 노원구 87길 75
ea169ebb-1b46-4b67-99f2-7c2a528bcaa2,이디야 송파17호점,이디야,서울 강남구 38길 52
f0d5f432-8d78-4224-a446-cfca3fd1b798,커피빈 신촌18호점,커피빈,서울 은평구 12길 80
aff99c4a-43c9-42d1-8b85-33c50392efd8,투썸 강서7호점,투썸,서울 서초구 78길 19
c56874ae-3670-4ad5-9587-c5129778f9ff,이디야 잠실5호점,이디야,서울 중구 95길 67
c20c709e-b193-45af-82be-1fa6dde5792e,매머드 송파4호점,매머드,서울 성북구 10로 24
91391396-5082-48fa-8da2-d7aedd2ee833,커피빈 중계2호점,커피빈,서울 강남구 36길 77
c0592fd5-a499-4ad7-9253-e32db24284f9,스타벅스 중계12호점,스타벅스,서울 강북구 31길 30
3345d83a-b344-4d5b-acef-c670e6b27df8,커피빈 신촌13호점,커피빈,서울 송파구 34로 70
d11a7bae-ef29-487e-9d24-651e0fc293c8,매머드 신촌8호점,매머드,서울 관악구 36로 39
ae48d485-84b6-4d9c-bd8d-909be191f814,투썸 중계3호점,투썸,서울 강남구 83로 86
9371270b-4c8c-46fc-9298-8de6642280de,투썸 잠실1호점,투썸,서울 중랑구 32로 87
447110a0-bed5-4c38-8a78-fbeab9ce5a11,매머드 홍대1호점,매머드,서울 도봉구 74길 90
4817d17d-b1eb-46aa-800e-474ef919cc6b,스타벅스 홍대15호점,스타벅스,서울 서대문구 8로 82
b4220a90-e0b2-4f3b-aed1-7ff80b942468,스타벅스 중계13호점,스타벅스,서울 성동구 26로 11
97465048-4a07-4835-b0db-8e712f2bf23e,이디야 잠실7호점,이디야,서울 도봉구 51길 58
34895630-b490-409c-b2e9-b758ffa4c4a9,이디야 신촌9호점,이디야,서울 성동구 9로 91
